date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:13	69/69	---M--	200	added ('OK')	text/plain	etag:%2245-5d1c35f203872-gzip-gzip%22	https://updatefaker.com/robots.txt		(from )
15:40:15	14799/14799	---MCZ	200	added ('OK')	text/html	etag:%227da-5d1c36089493c-gzip-gzip%22	https://updatefaker.com/windows11/	C:/My%20Web%20Sites/windows%2011/updatefaker.com/windows11/index.html	(from )
15:40:16	673/673	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:16%20GMT	https://updatefaker.com/detroitchicago/boise.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/boise.js	(from https://updatefaker.com/windows11/)
15:40:18	673/673	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:18%20GMT	https://updatefaker.com/detroitchicago/boise.js?gcb=195-0&cb=2	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/boise420f.js	(from https://updatefaker.com/windows11/)
15:40:19	5607/5607	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:19%20GMT	https://updatefaker.com/detroitchicago/memphis.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/memphis.js	(from https://updatefaker.com/windows11/)
15:40:20	5607/5607	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:20%20GMT	https://updatefaker.com/detroitchicago/memphis.js?gcb=195-0&cb=23	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/memphisd472.js	(from https://updatefaker.com/windows11/)
15:40:21	749/749	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:21%20GMT	https://updatefaker.com/detroitchicago/minneapolis.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/minneapolis.js	(from https://updatefaker.com/windows11/)
15:40:22	749/749	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:22%20GMT	https://updatefaker.com/detroitchicago/minneapolis.js?gcb=195-0&cb=4	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/minneapolis453e.js	(from https://updatefaker.com/windows11/)
15:40:22	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:22%20GMT	https://updatefaker.com/detroitchicago/rochester.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/rochester.js	(from https://updatefaker.com/windows11/)
15:40:24	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:24%20GMT	https://updatefaker.com/detroitchicago/rochester.js?gcb=195-0&cb=13	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/rochester9620.js	(from https://updatefaker.com/windows11/)
15:40:27	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:27%20GMT	https://updatefaker.com/detroitchicago/raleigh.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/raleigh.js	(from https://updatefaker.com/windows11/)
15:40:28	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:28%20GMT	https://updatefaker.com/detroitchicago/raleigh.js?gcb=195-0&cb=6	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/raleigh2693.js	(from https://updatefaker.com/windows11/)
15:40:29	723/723	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:29%20GMT	https://updatefaker.com/detroitchicago/tampa.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/tampa.js	(from https://updatefaker.com/windows11/)
15:40:30	723/723	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:30%20GMT	https://updatefaker.com/detroitchicago/tampa.js?gcb=195-0&cb=5	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/tampa45f7.js	(from https://updatefaker.com/windows11/)
15:40:32	12940/12940	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:31%20GMT	https://updatefaker.com/detroitchicago/tulsa.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/tulsa.js	(from https://updatefaker.com/windows11/)
15:40:34	12940/12940	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:33%20GMT	https://updatefaker.com/detroitchicago/tulsa.js?gcb=195-0&cb=7	C:/My%20Web%20Sites/windows%2011/updatefaker.com/detroitchicago/tulsa1fee.js	(from https://updatefaker.com/windows11/)
15:40:35	282766/282766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4508e%22	https://code.jquery.com/jquery-latest.js	C:/My%20Web%20Sites/windows%2011/code.jquery.com/jquery-latest.js	(from https://updatefaker.com/windows11/)
15:40:36	17048/17048	---MCZ	200	added ('OK')	application/javascript	etag:%224298-5d1c360905dbc-gzip-gzip%22	https://updatefaker.com/windows11/translations.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/windows11/translations.js	(from https://updatefaker.com/windows11/)
15:40:36	52/52	---M--	200	added ('OK')	application/javascript	etag:%2234-5d1c36058b3bb-gzip%22	https://updatefaker.com/sharedjs/disablerightclick.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/sharedjs/disablerightclick.js	(from https://updatefaker.com/windows11/)
15:40:38	249/249	---M--	200	added ('OK')	application/javascript	etag:%22f9-5d1c36058b3bb-gzip-gzip%22	https://updatefaker.com/sharedjs/bluescreen.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/sharedjs/bluescreen.js	(from https://updatefaker.com/windows11/)
15:40:39	337/337	---M--	200	added ('OK')	application/javascript	etag:%22151-5d1c3605b539b-gzip-gzip%22	https://updatefaker.com/sharedjs/percentagecounter.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/sharedjs/percentagecounter.js	(from https://updatefaker.com/windows11/)
15:40:40	2089/2089	---MCZ	200	added ('OK')	text/css	etag:%22829-5d1c3608d11fc-gzip-gzip%22	https://updatefaker.com/windows11/style.css	C:/My%20Web%20Sites/windows%2011/updatefaker.com/windows11/style.css	(from https://updatefaker.com/windows11/)
15:40:41	4816/4816	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202023%2010:10:41%20GMT	https://updatefaker.com/tardisrocinante/vitals.js	C:/My%20Web%20Sites/windows%2011/updatefaker.com/tardisrocinante/vitals.js	(from https://updatefaker.com/windows11/)
